Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
2B72616C2B436A387235696B4C734F636D71543631513D3D,49413762495730614C6A344974707551505759492F413D3D,Геодезическое обеспечение строительства нефтегазовых объектов,1,2015/2016,1,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
2B72616C2B436A387235696B4C734F636D71543631513D3D,49413762495730614C6A344974707551505759492F413D3D,Планирование и обработка экспериментальных данных,8,2018/2019,2,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
2B72616C2B436A387235696B4C734F636D71543631513D3D,49413762495730614C6A344974707551505759492F413D3D,Физическая и коллоидная химия,5,2017/2018,1,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
2B7355714F4E482F332B322B69535645616E733455673D3D,38456458586E426B55636F4F32524C505052486175673D3D,Машины и оборудование нефтегазовых объектов,6,2017/2018,4,21.03.01 Нефтегазовое дело,Очная,Бакалавр,Отчисленный
2B7355714F4E482F332B322B69535645616E733455673D3D,38456458586E426B55636F4F32524C505052486175673D3D,Планирование и обработка экспериментальных данных,6,2017/2018,2,21.03.01 Нефтегазовое дело,Очная,Бакалавр,Отчисленный
2B7355714F4E482F332B322B69535645616E733455673D3D,38456458586E426B55636F4F32524C505052486175673D3D,Экономика 2.1,5,2017/2018,4,21.03.01 Нефтегазовое дело,Очная,Бакалавр,Отчисленный
2B736F574736733477367A2B6B64462B536944514A773D3D,68785548594636483666766F3231525A4A53785546673D3D,Инноватика высшего образования. Часть 2,3,2016/2017,2,27.04.05 Инноватика,Очная,Магистр,Отчисленный
2B736F574736733477367A2B6B64462B536944514A773D3D,68785548594636483666766F3231525A4A53785546673D3D,Современные проблемы инноватики. Часть 2,2,2015/2016,2,27.04.05 Инноватика,Очная,Магистр,Отчисленный
2B736F574736733477367A2B6B64462B536944514A773D3D,68785548594636483666766F3231525A4A53785546673D3D,Управление инновационными процессами и проектами,2,2015/2016,4,27.04.05 Инноватика,Очная,Магистр,Отчисленный
2B7379597842306C757A3157683953556570335471413D3D,4A2F4C53356B4E6D462B51754C795552452B36336B513D3D,Электрические станции и подстанции,8,2014/2015,1,13.03.02 Электроэнергетика и электротехника,Заочная,Бакалавр,Отчисленный
2B7558686C3965477A6A4A6579327258677A686933673D3D,704841504A45636A70696436563239517278303465773D3D,Механика 2.2,4,2016/2017,2,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
2B7558686C3965477A6A4A6579327258677A686933673D3D,704841504A45636A70696436563239517278303465773D3D,Общеинженерный проект,7,2018/2019,2,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
2B7558686C3965477A6A4A6579327258677A686933673D3D,704841504A45636A70696436563239517278303465773D3D,Основы проектирования и оборудование предприятий химико-фармацевтических производств,8,2018/2019,2,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
2B76695337326836662B49716E6B4D4F6A30556E37413D3D,4171384871346F6E677368354367466675524C3264773D3D,Визуальный и измерительный контроль,7,2018/2019,3,12.03.01 Приборостроение,Очная,Бакалавр,Отчисленный
2B76695337326836662B49716E6B4D4F6A30556E37413D3D,4171384871346F6E677368354367466675524C3264773D3D,Механика 2.2,4,2016/2017,2,12.03.01 Приборостроение,Очная,Бакалавр,Отчисленный
2B7A4D322F4B694646446635674F67775265645853513D3D,68785548594636483666766F3231525A4A53785546673D3D,Инноватика высшего образования. Часть 2,3,2016/2017,2,27.04.05 Инноватика,Очная,Магистр,Отчисленный
2B7A4D322F4B694646446635674F67775265645853513D3D,68785548594636483666766F3231525A4A53785546673D3D,Современные проблемы инноватики. Часть 2,2,2015/2016,2,27.04.05 Инноватика,Очная,Магистр,Отчисленный
2B7A4D322F4B694646446635674F67775265645853513D3D,68785548594636483666766F3231525A4A53785546673D3D,Управление инновационными процессами и проектами,2,2015/2016,4,27.04.05 Инноватика,Очная,Магистр,Отчисленный
2F30482B6665546643316761365A4C535255354E2B773D3D,396E4E4D2B57692B317248374B394732466D767338413D3D,Бухгалтерский учет,6,2017/2018,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2F30482B6665546643316761365A4C535255354E2B773D3D,396E4E4D2B57692B317248374B394732466D767338413D3D,Корпоративные финансы,8,2018/2019,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2F30482B6665546643316761365A4C535255354E2B773D3D,396E4E4D2B57692B317248374B394732466D767338413D3D,Маркетинг,3,2016/2017,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2F30482B6665546643316761365A4C535255354E2B773D3D,396E4E4D2B57692B317248374B394732466D767338413D3D,Национальная экономика,7,2018/2019,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2F30482B6665546643316761365A4C535255354E2B773D3D,396E4E4D2B57692B317248374B394732466D767338413D3D,Организация производства на предприятиях,5,2017/2018,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2F30482B6665546643316761365A4C535255354E2B773D3D,396E4E4D2B57692B317248374B394732466D767338413D3D,Теория бухгалтерского учета,4,2016/2017,3,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2F335172635673376A6A76392B4F7546452F373350673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Механика 2.2,4,2016/2017,2,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2F335172635673376A6A76392B4F7546452F373350673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Экономика 2.4,6,2017/2018,3,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2F335172635673376A6A76392B4F7546452F373350673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Электрические машины,5,2017/2018,3,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2F335172635673376A6A76392B4F7546452F373350673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Электрические станции и подстанции,6,2017/2018,3,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2F335172635673376A6A76392B4F7546452F373350673D3D,4275757651775A574B43505466614D4848367A4A30413D3D,Электроэнергетические системы и сети,5,2017/2018,3,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
2F34413978524454342F53434F654A3036524B4E31773D3D,6F6F612B4B347932336D61555059416C732F702B4D773D3D,Планирование и обработка экспериментальных данных,3,2016/2017,2,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
2F34413978524454342F53434F654A3036524B4E31773D3D,6F6F612B4B347932336D61555059416C732F702B4D773D3D,Физическая культура и спорт,1,2015/2016,1,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
2F34413978524454342F53434F654A3036524B4E31773D3D,6F6F612B4B347932336D61555059416C732F702B4D773D3D,Экономика 2.1,6,2017/2018,3,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
2F36626E554E6C5072705A75633262734C474F3854413D3D,4F68324539314B556645666F66337A397843706A73413D3D,Механика 2.2,4,2016/2017,2,22.03.01 Материаловедение и технологии материалов,Очная,Бакалавр,Отчисленный
2F3858377851516978564E446C7549735663485857413D3D,4532356A6954796E4645584147463547545045695A673D3D,Геоинформационные системы,4,2016/2017,2,21.03.02 Землеустройство и кадастры,Очная,Бакалавр,Отчисленный
2F38773233674C376558764B65564C493963766B52413D3D,74753964553444596A4F356B5A547851734A697952513D3D,Теория автоматов,7,2018/2019,3,09.03.01 Информатика и вычислительная техника,Заочная,Бакалавр,Отчисленный
2F41454A38434174376B795854416F75364E583563513D3D,4A75536339543148733174464A78594D65717A5333773D3D,Гидравлические машины и гидропневмопривод,6,2017/2018,3,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2F41454A38434174376B795854416F75364E583563513D3D,4A75536339543148733174464A78594D65717A5333773D3D,Детали машин и основы проектирования 2,6,2017/2018,2,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2F41454A38434174376B795854416F75364E583563513D3D,4A75536339543148733174464A78594D65717A5333773D3D,"Метрология, стандартизация и сертификация 1.1",5,2017/2018,2,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2F41454A38434174376B795854416F75364E583563513D3D,4A75536339543148733174464A78594D65717A5333773D3D,Экономика 2.3,6,2017/2018,4,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
2F415453585A463575717550683553734F69424B4F673D3D,4753486851306D43444D5A754753494E6F6F4F5352773D3D,Технологический проект,10,2019/2020,2,18.03.01 Химическая технология,Заочная,Бакалавр,Отчисленный
2F415453585A463575717550683553734F69424B4F673D3D,4753486851306D43444D5A754753494E6F6F4F5352773D3D,Экономика 2.2,6,2017/2018,4,18.03.01 Химическая технология,Заочная,Бакалавр,Отчисленный
2F476935753742435A726C4835303654425A682B56673D3D,7030614C424745562F44776245684544484C423745773D3D,Дефекты в твердых телах и модифицирование материалов,3,2016/2017,2,03.04.02 Физика,Очная,Магистр,Отчисленный
2F476935753742435A726C4835303654425A682B56673D3D,7030614C424745562F44776245684544484C423745773D3D,Экспериментальные методы в исследовании конденсированного состояния,8,2012/2013,2,03.04.02 Физика,Очная,Магистр,Отчисленный
2F476935753742435A726C4835303654425A682B56673D3D,7030614C424745562F44776245684544484C423745773D3D,Электрофизические установки,7,2012/2013,2,03.04.02 Физика,Очная,Магистр,Отчисленный
2F495A522B364744776E3832617444696A68684872673D3D,553234447648343938632F7171346C45384949364D413D3D,Макроэкономика,2,2015/2016,4,38.03.01 Экономика,Заочная,Бакалавр,Отчисленный
2F4B2F377A472B5349796C616653416C63596D3561673D3D,4F7731486C4C6A2F7848376770687A6171746F794A413D3D,Теория механизмов и машин,5,2017/2018,1,15.03.01 Машиностроение,Заочная,Бакалавр,Отчисленный
2F4D3459532B693274563864434F5350384764466D413D3D,396E64757670316E30464232454846514378424652413D3D,Начертательная геометрия и инженерная графика 1.4,2,2015/2016,4,21.03.01 Нефтегазовое дело,Заочная,Бакалавр,Отчисленный
